index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
159,PA2,PASSED,26.7,29.7,33.1,39.8,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
160,PA1,PASSED,26.9,54.6,70.1,76.1,3.329192546583851,24.300000000000075,15.499999999999998,0.0,5.913285981367036,0.0,49.04247852795096
161,PA2,PASSED,26.9,29.9,33.3,39.9,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
162,PA2,PASSED,27.2,30.2,33.6,40.2,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
163,PA1,PASSED,27.4,55.1,70.6,76.5,3.329192546583851,24.300000000000075,15.499999999999998,0.0,5.885288880817988,0.0,49.01448142740191
164,PA2,PASSED,27.4,30.4,33.8,40.4,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
165,PA2,PASSED,27.7,30.7,34.1,40.7,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
166,PA1,PASSED,27.9,55.6,71.1,77.0,3.329192546583851,24.300000000000075,15.499999999999998,0.0,5.837505891348753,0.0,48.96669843793268
167,PA2,PASSED,27.9,30.9,34.3,40.9,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
168,PA2,PASSED,28.2,31.2,34.6,41.2,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
169,PA1,PASSED,28.4,56.1,71.6,77.5,3.329192546583851,24.300000000000075,15.499999999999998,0.0,5.817616250081656,0.0,48.94680879666558
170,PA2,PASSED,28.4,31.4,34.8,41.4,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
171,PA2,PASSED,28.7,31.7,35.1,41.7,2.9130434782608696,0.0,3.344782817194601,0.0,6.564391985626441,0.0,12.822218281081913
172,PA1,PASSED,28.9,56.6,72.1,78.0,3.329192546583851,24.300000000000075,15.499999999999998,0.0,5.80034764612137,0.0,48.92954019270529
173,PA2,PASSED,28.9,31.9,35.3,42.0,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
174,PA2,PASSED,29.2,32.2,35.6,42.3,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
175,PA1,PASSED,29.4,57.1,72.6,78.4,3.329192546583851,24.300000000000075,15.499999999999998,0.0,5.77361459062646,0.0,48.90280713721038
176,PA2,PASSED,29.4,32.4,35.8,42.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
177,PA2,PASSED,29.7,32.7,36.1,42.8,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
178,PA1,PASSED,29.9,57.6,73.1,78.9,3.329192546583851,24.300000000000075,15.499999999999998,0.0,5.757331632152754,0.0,48.88652417873668
179,PA2,PASSED,29.9,32.9,36.3,43.0,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
180,PA2,PASSED,30.2,33.2,36.6,43.4,2.9130434782608696,0.0,3.344782817194601,0.0,6.77204354519501,0.0,13.02986984065048
181,PA1,PASSED,30.4,66.2,81.7,87.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.767080745341614,0.0,56.996273291925654
182,PA2,PASSED,30.4,33.4,36.8,43.6,2.9130434782608696,0.0,3.344782817194601,0.0,6.77204354519501,0.0,13.02986984065048
183,PA2,PASSED,30.7,33.7,37.1,43.9,2.9130434782608696,0.0,3.344782817194601,0.0,6.77204354519501,0.0,13.02986984065048
184,PA1,PASSED,30.9,66.7,82.2,88.0,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.767080745341614,0.0,56.996273291925654
185,PA2,PASSED,30.9,33.9,37.3,44.1,2.9130434782608696,0.0,3.344782817194601,0.0,6.77204354519501,0.0,13.02986984065048
186,PA2,PASSED,31.2,34.2,37.6,44.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
187,PA1,PASSED,31.4,67.2,82.7,88.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.767080745341614,0.0,56.996273291925654
188,PA2,PASSED,31.4,34.4,37.8,44.7,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
189,PA2,PASSED,31.7,34.7,38.1,45.1,2.9130434782608696,0.0,3.344782817194601,0.0,6.936162953448973,0.0,13.193989248904444
190,PA1,PASSED,31.9,67.7,83.2,89.0,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.767080745341614,0.0,56.996273291925654
191,PA2,PASSED,31.9,34.9,38.3,45.3,2.9130434782608696,0.0,3.344782817194601,0.0,6.936162953448973,0.0,13.193989248904444
192,PA2,PASSED,32.2,35.2,38.6,45.7,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
193,PA1,PASSED,32.4,68.2,83.7,89.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.767080745341614,0.0,56.996273291925654
194,PA2,PASSED,32.4,35.4,38.8,45.9,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
195,PA2,PASSED,32.7,35.7,39.1,46.2,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
196,PA1,PASSED,32.9,68.7,84.2,90.0,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.767080745341614,0.0,56.996273291925654
197,PA2,PASSED,32.9,35.9,39.3,46.5,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
198,PA2,PASSED,33.2,36.2,39.6,46.8,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
199,PA1,PASSED,33.4,69.2,84.7,90.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.767080745341614,0.0,56.996273291925654
200,PA2,PASSED,33.4,36.4,39.8,47.1,2.9130434782608696,0.0,3.344782817194601,0.0,7.227815980730016,0.0,13.485642276185487
201,PA2,PASSED,33.7,36.7,40.1,47.4,2.9130434782608696,0.0,3.344782817194601,0.0,7.227815980730016,0.0,13.485642276185487
202,PA1,PASSED,33.9,69.7,85.2,91.0,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.76483001635887,0.0,56.99402256294291
203,PA2,PASSED,33.9,36.9,40.3,47.6,2.9130434782608696,0.0,3.344782817194601,0.0,7.227815980730016,0.0,13.485642276185487
204,PA2,PASSED,34.2,37.2,40.6,48.0,2.9130434782608696,0.0,3.344782817194601,0.0,7.338862661798051,0.0,13.596688957253521
205,PA1,PASSED,34.4,70.2,85.7,91.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.757481672706928,0.0,56.98667421929096
206,PA2,PASSED,34.4,37.4,40.8,48.2,2.9130434782608696,0.0,3.344782817194601,0.0,7.338862661798051,0.0,13.596688957253521
207,PA2,PASSED,34.7,37.7,41.1,48.6,2.9130434782608696,0.0,3.344782817194601,0.0,7.457652416883915,0.0,13.715478712339387
208,PA1,PASSED,34.9,70.7,86.2,92.0,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.753169167447091,0.0,56.98236171403113
209,PA2,PASSED,34.9,37.9,41.3,48.8,2.9130434782608696,0.0,3.344782817194601,0.0,7.457652416883915,0.0,13.715478712339387
210,PA2,PASSED,35.2,38.2,41.6,49.1,2.9130434782608696,0.0,3.344782817194601,0.0,7.457652416883915,0.0,13.715478712339387
211,PA1,PASSED,35.4,71.2,86.7,92.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.751769440391113,0.0,56.98096198697515
212,PA2,PASSED,35.4,38.4,41.8,49.3,2.9130434782608696,0.0,3.344782817194601,0.0,7.457652416883915,0.0,13.715478712339387
213,PA2,PASSED,35.7,38.7,42.1,49.6,2.9130434782608696,0.0,3.344782817194601,0.0,7.457652416883915,0.0,13.715478712339387
214,PA1,PASSED,35.9,71.7,87.2,93.0,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.753183035875205,0.0,56.98237558245924
215,PA2,PASSED,35.9,38.9,42.3,49.9,2.9130434782608696,0.0,3.344782817194601,0.0,7.584751910273507,0.0,13.842578205728977
216,PA2,PASSED,36.2,39.2,42.6,50.0,2.9130434782608696,0.0,3.344782817194601,0.0,7.338862661798051,0.0,13.596688957253521
217,PA1,PASSED,36.4,72.2,87.7,93.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.753183035875205,0.0,56.98237558245924
218,PA2,PASSED,36.4,39.4,42.8,50.3,2.9130434782608696,0.0,3.344782817194601,0.0,7.457652416883915,0.0,13.715478712339387
219,PA2,PASSED,36.7,39.7,43.1,50.4,2.9130434782608696,0.0,3.344782817194601,0.0,7.227815980730016,0.0,13.485642276185487
220,PA1,PASSED,36.9,72.7,88.2,94.0,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.753183035875205,0.0,56.98237558245924
221,PA2,PASSED,36.9,39.9,43.3,50.7,2.9130434782608696,0.0,3.344782817194601,0.0,7.338862661798051,0.0,13.596688957253521
222,PA2,PASSED,37.2,40.2,43.6,50.9,2.9130434782608696,0.0,3.344782817194601,0.0,7.227815980730016,0.0,13.485642276185487
223,PA1,PASSED,37.4,73.2,88.7,94.5,3.329192546583851,32.40000000000019,15.499999999999998,0.0,5.753183035875205,0.0,56.98237558245924
224,PA2,PASSED,37.4,40.4,43.8,51.1,2.9130434782608696,0.0,3.344782817194601,0.0,7.227815980730016,0.0,13.485642276185487
225,PA2,PASSED,37.7,40.7,44.1,51.3,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
226,PA1,PASSED,37.9,81.8,97.3,103.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.767080745341614,0.0,65.09627329192577
227,PA2,PASSED,37.9,40.9,44.3,51.5,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
228,PA2,PASSED,38.2,41.2,44.6,51.7,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
229,PA1,PASSED,38.4,82.3,97.8,103.6,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.767080745341614,0.0,65.09627329192577
230,PA2,PASSED,38.4,41.4,44.8,51.9,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
231,PA2,PASSED,38.7,41.7,45.1,52.3,2.9130434782608696,0.0,3.344782817194601,0.0,7.123993489831101,0.0,13.38181978528657
232,PA1,PASSED,38.9,82.8,98.3,104.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.767080745341614,0.0,65.09627329192577
233,PA2,PASSED,38.9,41.9,45.3,52.4,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
234,PA2,PASSED,39.2,42.2,45.6,52.7,2.9130434782608696,0.0,3.344782817194601,0.0,7.026920468731522,0.0,13.284746764186991
235,PA1,PASSED,39.4,83.3,98.8,104.6,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.767080745341614,0.0,65.09627329192577
